Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_10204,5,0,0,0,0,0,8,184,192,0.503,10204,10204,54.083,22.981,0,0.071,0.078,0.062,0.077,0.008,9.356,11.232,5.578,10.490,2.078
Track_10205,9,0,0,0,0,0,16,184,200,1.051,10205,10205,41.129,38.956,0,0.075,0.138,0.006,0.077,0.038,13.690,17.093,10.064,12.942,2.362
Track_10218,5,0,0,0,0,0,8,184,192,0.570,10218,10218,23.403,37.226,0,0.072,0.142,0.030,0.084,0.053,14.441,18.596,10.849,12.678,3.276
Track_10224,11,0,0,0,0,0,20,184,204,1.109,10224,10224,26.939,27.552,0,0.079,0.208,0.004,0.068,0.059,13.704,21.216,7.259,12.716,4.173
Track_10237,6,0,0,0,0,0,10,184,194,0.674,10237,10237,1.618,6.616,0,0.074,0.146,0.014,0.049,0.064,9.276,13.123,5.108,10.549,3.000
Track_10243,5,0,0,0,0,0,8,184,192,0.603,10243,10243,20.186,43.144,0,0.080,0.116,0.053,0.094,0.031,8.735,12.110,4.163,9.309,2.822
Track_10247,6,0,0,0,0,0,10,184,194,0.422,10247,10247,38.078,6.136,0,0.046,0.087,0.012,0.048,0.027,8.299,9.551,6.282,9.267,1.273
Track_10255,10,0,0,0,0,0,18,184,202,1.278,10255,10255,48.260,31.093,0,0.072,0.156,0.007,0.072,0.045,10.334,16.256,7.268,8.870,3.109
Track_10267,8,0,0,0,0,0,14,184,198,1.237,10267,10267,50.481,28.343,0,0.091,0.220,0.041,0.065,0.064,12.843,18.407,8.085,13.313,3.703
Track_10270,4,0,0,0,0,0,6,184,190,0.431,10270,10270,1.366,47.349,0,0.072,0.174,0.010,0.032,0.089,8.169,9.870,5.908,9.838,1.734
Track_10272,9,0,0,0,0,0,16,184,200,1.274,10272,10272,24.511,47.589,0,0.081,0.244,0.008,0.079,0.075,11.664,14.810,9.168,12.472,1.895
Track_10276,18,0,0,0,0,0,34,184,218,1.496,10276,10276,30.875,27.025,0,0.074,0.169,0.006,0.078,0.045,12.372,18.737,6.601,12.578,3.540
Track_10278,7,0,0,0,0,0,12,184,196,0.751,10278,10278,45.410,45.866,0,0.069,0.077,0.060,0.073,0.007,14.104,18.302,10.575,13.963,2.786
Track_10280,5,0,0,0,0,0,8,184,192,0.404,10280,10280,13.050,28.615,0,0.073,0.148,0.011,0.093,0.060,9.732,11.637,7.665,9.323,1.621
Track_10284,7,0,0,0,0,0,12,184,196,0.663,10284,10284,34.412,34.142,0,0.057,0.101,0.023,0.051,0.030,8.477,10.075,5.102,9.281,1.645
Track_10286,10,0,0,0,0,0,18,184,202,0.750,10286,10286,14.188,53.156,0,0.054,0.122,0.003,0.033,0.047,11.174,13.599,8.228,11.474,1.686
Track_10295,5,0,0,0,0,0,8,184,192,0.465,10295,10295,53.355,33.028,0,0.065,0.077,0.042,0.073,0.016,12.556,14.807,8.933,13.423,2.045
Track_10297,7,0,0,0,0,0,12,184,196,1.161,10297,10297,22.078,52.242,0,0.098,0.248,0.026,0.087,0.079,12.433,15.399,9.547,12.321,1.837
Track_10304,6,0,0,0,0,0,10,184,194,0.671,10304,10304,43.599,33.639,0,0.068,0.083,0.048,0.077,0.015,12.917,14.392,11.435,13.388,1.173
Track_10309,5,0,0,0,0,0,8,186,194,0.575,10309,10309,13.824,49.588,0,0.100,0.216,0.034,0.110,0.084,8.955,11.058,7.104,8.592,1.614
Track_10311,8,0,0,0,0,0,14,186,200,0.639,10311,10311,22.048,50.076,0,0.067,0.100,0.028,0.074,0.028,7.588,9.196,6.235,7.645,1.116
Track_10317,5,0,0,0,0,0,8,186,194,0.545,10317,10317,3.605,30.884,0,0.070,0.086,0.047,0.078,0.017,7.444,8.872,5.818,7.763,1.108
Track_10327,5,0,0,0,0,0,8,186,194,0.635,10327,10327,38.743,13.997,0,0.083,0.163,0.044,0.066,0.055,9.913,11.183,8.874,9.906,0.743
Track_10330,5,0,0,0,0,0,8,186,194,0.565,10330,10330,29.169,48.046,0,0.073,0.165,0.027,0.051,0.062,9.089,12.033,5.164,8.454,2.513
Track_10333,8,0,0,0,0,0,14,186,200,0.926,10333,10333,12.145,12.541,0,0.076,0.156,0.034,0.072,0.042,12.669,17.754,8.383,12.227,3.227
Track_10337,7,0,0,0,0,0,12,186,198,0.836,10337,10337,21.641,54.793,0,0.080,0.148,0.054,0.074,0.037,9.561,12.235,5.790,9.850,1.994
Track_10339,7,0,0,0,0,0,12,186,198,0.729,10339,10339,32.865,36.262,0,0.062,0.077,0.044,0.064,0.012,13.806,15.116,12.622,13.783,0.705
Track_10340,4,0,0,0,0,0,6,186,192,0.519,10340,10340,38.764,3.399,0,0.090,0.117,0.062,0.090,0.027,5.941,6.657,4.525,6.589,0.857
Track_10344,4,0,0,0,0,0,6,186,192,0.532,10344,10344,29.215,3.635,0,0.093,0.151,0.057,0.071,0.051,7.838,9.192,6.707,8.043,0.914
Track_10351,4,0,0,0,0,0,6,186,192,0.582,10351,10351,39.570,19.174,0,0.106,0.124,0.093,0.101,0.016,6.720,8.529,4.974,6.887,1.265
Track_10355,8,0,0,0,0,0,14,186,200,0.873,10355,10355,7.384,17.929,0,0.087,0.123,0.023,0.096,0.039,6.830,8.362,4.728,7.556,1.209
Track_10356,7,0,0,0,0,0,12,186,198,0.426,10356,10356,46.937,51.781,0,0.073,0.207,0.014,0.061,0.072,10.610,13.661,8.248,10.389,1.841
Track_10357,6,0,0,0,0,0,10,186,196,0.516,10357,10357,48.977,34.301,0,0.055,0.113,0.012,0.056,0.038,10.254,11.821,6.821,11.135,1.637
Track_10362,4,0,0,0,0,0,6,186,192,0.588,10362,10362,29.765,16.626,0,0.099,0.129,0.054,0.112,0.040,6.162,6.835,5.630,6.407,0.486
Track_10363,5,0,0,0,0,0,8,186,194,0.541,10363,10363,51.606,32.454,0,0.072,0.086,0.062,0.075,0.011,16.546,19.041,13.438,16.468,2.001
Track_10376,4,0,0,0,0,0,6,186,192,0.493,10376,10376,41.475,41.604,0,0.094,0.114,0.079,0.088,0.018,10.403,11.427,8.884,11.059,0.976
Track_10391,6,0,0,0,0,0,10,186,196,0.609,10391,10391,36.231,22.085,0,0.066,0.115,0.012,0.063,0.041,11.953,17.979,6.208,14.000,4.591
Track_10395,7,0,0,0,0,0,12,186,198,1.009,10395,10395,50.488,37.237,0,0.102,0.173,0.041,0.129,0.051,10.979,13.402,8.262,10.616,1.779
Track_10401,8,0,0,0,0,0,14,186,200,0.891,10401,10401,49.932,45.130,0,0.064,0.103,0.044,0.054,0.022,17.384,21.934,8.750,20.417,4.526
Track_10403,8,0,0,0,0,0,14,186,200,1.098,10403,10403,38.362,9.731,0,0.080,0.156,0.034,0.069,0.046,9.120,11.234,7.902,9.235,1.066
Track_10405,9,0,0,0,0,0,16,186,202,0.649,10405,10405,7.990,10.275,0,0.080,0.158,0.020,0.071,0.056,9.814,13.758,5.308,9.681,2.375
Track_10410,7,0,0,0,0,0,12,186,198,0.680,10410,10410,10.653,44.533,0,0.086,0.152,0.044,0.098,0.041,10.327,11.668,7.730,10.495,1.187
Track_10415,6,0,0,0,0,0,10,186,196,0.489,10415,10415,41.387,43.426,0,0.081,0.237,0.036,0.045,0.088,12.465,15.792,6.533,13.948,3.370
Track_10511,7,0,0,0,0,0,12,190,202,0.631,10511,10511,53.827,42.165,0,0.059,0.125,0.012,0.052,0.039,10.998,15.335,7.169,10.303,2.978
Track_10512,9,0,0,0,0,0,16,190,206,0.569,10512,10512,26.605,24.806,0,0.044,0.066,0.025,0.045,0.014,10.431,12.481,8.971,10.741,1.244
Track_10520,7,0,0,0,0,0,12,190,202,0.668,10520,10520,40.904,5.393,0,0.064,0.087,0.023,0.076,0.024,11.164,13.638,6.687,11.302,2.007
Track_10522,4,0,0,0,0,0,6,190,196,0.523,10522,10522,35.240,5.484,0,0.101,0.197,0.050,0.056,0.083,6.715,7.974,5.175,7.372,1.064
Track_10528,4,0,0,0,0,0,6,190,196,0.558,10528,10528,2.326,40.663,0,0.093,0.125,0.069,0.085,0.029,8.183,10.079,6.443,9.213,1.508
Track_10529,6,0,0,0,0,0,10,188,198,0.713,10529,10529,50.576,40.841,0,0.072,0.140,0.028,0.071,0.045,12.024,14.136,10.778,12.189,1.098
Track_10533,4,0,0,0,0,0,6,190,196,0.506,10533,10533,21.153,39.002,0,0.095,0.137,0.060,0.090,0.039,8.112,9.338,6.636,8.662,1.009
Track_10535,6,0,0,0,0,0,10,190,200,0.565,10535,10535,28.100,39.163,0,0.069,0.137,0.021,0.072,0.048,8.469,10.738,6.803,9.397,1.535
Track_10537,7,0,0,0,0,0,12,190,202,0.506,10537,10537,35.018,39.622,0,0.073,0.173,0.016,0.071,0.055,12.865,15.670,8.483,14.321,2.395
Track_10538,8,0,0,0,0,0,14,190,204,1.266,10538,10538,3.513,11.311,0,0.094,0.180,0.045,0.084,0.045,6.249,7.380,5.590,6.435,0.564
Track_10544,8,0,0,0,0,0,14,190,204,1.102,10544,10544,54.625,47.227,0,0.091,0.186,0.063,0.069,0.044,9.120,10.835,5.671,10.398,1.779
Track_10545,9,0,0,0,0,0,16,188,204,0.748,10545,10545,35.510,29.421,0,0.052,0.202,0.008,0.024,0.066,8.960,14.370,3.988,8.194,3.212
Track_10549,5,0,0,0,0,0,8,190,198,0.679,10549,10549,18.975,12.913,0,0.092,0.184,0.041,0.089,0.065,7.393,10.047,4.703,7.275,1.994
Track_10550,4,0,0,0,0,0,6,188,194,0.422,10550,10550,17.332,12.655,0,0.072,0.077,0.069,0.071,0.004,9.252,11.184,7.108,10.389,1.618
Track_10557,5,0,0,0,0,0,8,188,196,0.648,10557,10557,55.188,11.599,0,0.081,0.162,0.000,0.108,0.070,9.106,11.020,7.168,9.107,1.462
Track_10564,6,0,0,0,0,0,10,188,198,0.579,10564,10564,5.388,26.357,0,0.059,0.106,0.026,0.045,0.038,11.057,15.314,5.722,12.536,3.382
Track_10568,6,0,0,0,0,0,10,190,200,0.504,10568,10568,35.246,44.761,0,0.071,0.217,0.008,0.027,0.086,9.552,10.601,8.454,9.825,0.663
Track_10577,6,0,0,0,0,0,10,188,198,0.452,10577,10577,28.746,25.367,0,0.047,0.076,0.023,0.035,0.024,17.431,20.445,14.236,18.532,2.468
Track_10579,4,0,0,0,0,0,6,190,196,0.419,10579,10579,36.653,8.367,0,0.074,0.084,0.068,0.070,0.009,8.591,12.050,5.615,9.423,2.410
Track_10604,4,0,0,0,0,0,6,190,196,0.534,10604,10604,40.476,31.843,0,0.092,0.145,0.053,0.078,0.047,8.254,10.270,6.890,8.308,1.267
